Data long,Data,Numero1,Numero2,Numero3,Numero4,Numero5,Numero6,NumeroJ,NumeroS
16 December 2025,46007,2,18,24,35,41,84,44,20
13 December 2025,46004,2,5,7,36,58,64,14,62
12 December 2025,46003,7,21,35,38,64,80,29,87
11 December 2025,46002,14,44,72,81,85,86,80,47
9 December 2025,46000,8,31,51,65,78,79,26,77
6 December 2025,45997,1,38,42,78,82,84,24,71
5 December 2025,45996,10,19,29,30,56,71,76,13
4 December 2025,45995,12,30,45,48,59,60,40,90
2 December 2025,45993,5,17,28,59,70,90,27,66
29 November 2025,45990,8,16,29,61,65,69,17,85
28 November 2025,45989,1,12,20,21,42,58,84,34
27 November 2025,45988,9,28,43,50,61,88,83,62
25 November 2025,45986,18,20,21,23,40,43,52,10
22 November 2025,45983,2,8,29,47,59,65,86,26
21 November 2025,45982,12,14,18,53,84,86,72,35
20 November 2025,45981,5,9,15,17,48,74,65,75
18 November 2025,45979,18,40,54,83,85,89,4,57
15 November 2025,45976,20,23,40,51,55,85,5,80
14 November 2025,45975,26,38,43,46,72,73,45,45
13 November 2025,45974,7,9,17,54,73,90,89,3
11 November 2025,45972,3,37,42,59,63,84,49,64
8 November 2025,45969,17,18,19,33,35,62,80,58
7 November 2025,45968,5,24,32,67,82,88,43,89
6 November 2025,45967,9,48,51,53,73,88,19,43
4 November 2025,45965,5,18,28,38,44,76,23,89
3 November 2025,45964,30,56,80,81,85,87,67,2
31 October 2025,45961,8,30,32,61,67,85,22,9
30 October 2025,45960,15,30,37,39,56,74,43,47
28 October 2025,45958,8,25,40,54,58,63,50,63
25 October 2025,45955,16,18,33,53,58,89,81,59
24 October 2025,45954,5,12,23,31,84,90,68,77
23 October 2025,45953,7,29,42,62,68,73,26,21
21 October 2025,45951,4,9,14,33,36,77,66,15
18 October 2025,45948,12,13,19,26,75,82,50,54
17 October 2025,45947,2,9,10,32,66,77,72,44
16 October 2025,45946,7,44,45,58,76,80,77,13
14 October 2025,45944,9,31,44,59,70,86,37,81
11 October 2025,45941,28,51,55,62,80,90,68,90
10 October 2025,45940,20,38,42,61,81,82,16,80
9 October 2025,45939,38,49,50,54,78,82,90,43
7 October 2025,45937,17,21,40,56,61,79,87,85
4 October 2025,45934,48,54,61,68,79,87,80,45
3 October 2025,45933,2,4,69,75,79,88,12,7
2 October 2025,45932,1,21,39,42,52,89,6,17
30 September 2025,45930,5,8,71,74,77,81,34,70
27 September 2025,45927,9,10,21,25,27,68,54,6
26 September 2025,45926,2,17,23,39,58,82,75,6
25 September 2025,45925,11,19,36,41,65,82,17,15
